Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
27-30,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Academic press,Almost every day,Sometimes,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,School Student,Less than 6 hours,6–8 hours,Talk to friends/family,Never,3 (Moderate),Anxiety,Financial stre,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Lower Class,School Student,8–10 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Male,Middle Class,Postgraduate Student,8–10 hours,More than 8 hours,Read or learn something new,1–2 times a week,2 (Low),Depression,Relationship i,Rarely,Yes,Neutral,Family/Friends,Yes
15-18,Female,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,No,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Yes,Anxious,School/College Counselors,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,4 (High),Panic attacks,Uncertainty ab,Sometimes,Sometimes,Happy and stable,Mental Health Apps,Yes
15-18,Male,Rich,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Depression,Social media c,Often,No,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,School Student,More than 10 hours,More than 8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Academic press,Rarely,Sometimes,Depressed / Burnt out,Family/Friends,Yes
27-30,Female,Lower Class,School Student,8–10 hours,More than 8 hours,Scroll social media,3–5 times a week,4 (High),Panic attacks,Academic press,Often,Sometimes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Family expecta,Almost every day,Sometimes,Stressed,Support Groups,Yes
19-22,Male,Middle Class,Postgraduate Student,8–10 hours,0–2 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Panic attacks,Academic press,Often,No,Happy and stable,Family/Friends,Yes
23-26,Male,Rich,Postgraduate Student,8–10 hours,2–4 hours,Read or learn something new,Never,2 (Low),Anxiety,Uncertainty ab,Often,Yes,Neutral,Mental Health Apps,No
27-30,Female,Middle Class,Postgraduate Student,8–10 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,2 (Low),Anxiety,Uncertainty ab,Sometimes,Sometimes,Stressed,Family/Friends,Yes
19-22,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Read or learn something new,Never,1 (Very Low),None of these,Not applicable,Sometimes,No,Happy and stable,Family/Friends,Yes
19-22,Male,Middle Class,School Student,6–8 hours,6–8 hours,Read or learn something new,Daily,2 (Low),Depression,Uncertainty ab,Sometimes,No,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Sometimes,Neutral,Family/Friends,Yes
27-30,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,4 (High),Depression,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),Panic attacks,Social media c,Sometimes,Sometimes,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,School Student,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Sometimes,Anxious,School/College Counselors,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,1 (Very Low),Anxiety,Family expecta,Often,Yes,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Anxious,Family/Friends,No
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,Never,3 (Moderate),Anxiety,Academic press,Often,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,Daily,4 (High),Panic attacks,Academic press,Sometimes,No,Stressed,Online Therapy Platforms,Yes
19-22,Male,Lower Class,School Student,Less than 6 hours,6–8 hours,Talk to friends/family,3–5 times a week,1 (Very Low),None of these,Not applicable,Sometimes,No,Depressed / Burnt out,Family/Friends,Yes
15-18,Male,Lower Class,Working Professional,6–8 hours,2–4 hours,Overthinking,1–2 times a week,4 (High),None of these,Not applicable,Often,Sometimes,Stressed,School/College Counselors,No
15-18,Female,Middle Class,Postgraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Yes,Stressed,Family/Friends,Yes
23-26,Female,Middle Class,Postgraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Depression,Uncertainty ab,Sometimes,Yes,Stressed,School/College Counselors,Yes
19-22,Male,Lower Class,Postgraduate Student,8–10 hours,6–8 hours,Talk to friends/family,3–5 times a week,2 (Low),Anxiety,Academic press,Sometimes,No,Stressed,Mental Health Apps,Yes
15-18,Male,Rich,Working Professional,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,Sometimes,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Female,Rich,School Student,6–8 hours,6–8 hours,Read or learn something new,3–5 times a week,2 (Low),Depression,Relationship i,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Male,Middle Class,Working Professional,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Family expecta,Sometimes,Sometimes,Stressed,Support Groups,Yes
15-18,Male,Middle Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,4 (High),Panic attacks,Relationship i,Often,Sometimes,Stressed,Support Groups,Yes
27-30,Female,Middle Class,Postgraduate Student,8–10 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,Yes,Stressed,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Depression,Academic press,Rarely,Yes,Anxious,Support Groups,Yes
27-30,Female,Middle Class,Postgraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,Yes,Stressed,Family/Friends,No
23-26,Male,Middle Class,Working Professional,Less than 6 hours,More than 8 hours,Sleep / do nothing,3–5 times a week,2 (Low),Panic attacks,Social media c,Almost every day,Sometimes,Neutral,School/College Counselors,Yes
15-18,Male,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Often,Yes,Neutral,School/College Counselors,No
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Academic press,Almost every day,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,2 (Low),Depression,Financial stre,Often,No,Neutral,Mental Health Apps,Yes
23-26,Male,Middle Class,Currently Unemployed,Less than 6 hours,6–8 hours,Read or learn something new,3–5 times a week,1 (Very Low),Anxiety,Academic press,Often,Yes,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,Working Professional,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Often,No,Stressed,Mental Health Apps,Yes
27-30,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Neutral,Online Therapy Platforms,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,Never,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Happy and stable,Mental Health Apps,No
19-22,Female,Lower Class,School Student,Less than 6 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Depression,Academic press,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Male,Middle Class,School Student,8–10 hours,More than 8 hours,Scroll social media,3–5 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,No,Depressed / Burnt out,Support Groups,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Talk to friends/family,Daily,5 (Very High),Panic attacks,Relationship i,Sometimes,Sometimes,Happy and stable,Mental Health Apps,Yes
19-22,Female,Lower Class,Working Professional,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Anxious,School/College Counselors,Yes
15-18,Female,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Often,No,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,Never,4 (High),None of these,Not applicable,Often,No,Neutral,School/College Counselors,Yes
27-30,Female,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Social media c,Sometimes,Yes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Watch movies / listen to music,Never,4 (High),Panic attacks,Academic press,Sometimes,No,Anxious,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,3–5 times a week,4 (High),Depression,Social media c,Often,No,Stressed,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Panic attacks,Family expecta,Sometimes,Yes,Neutral,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Working Professional,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Panic attacks,Family expecta,Often,No,Anxious,Family/Friends,Yes
19-22,Female,Lower Class,School Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Panic attacks,Family expecta,Often,Yes,Anxious,Family/Friends,Yes
27-30,Female,Middle Class,Working Professional,8–10 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Panic attacks,Social media c,Almost every day,Sometimes,Stressed,School/College Counselors,Yes
15-18,Male,Lower Class,Working Professional,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,School Student,8–10 hours,6–8 hours,Read or learn something new,1–2 times a week,4 (High),Anxiety,Social media c,Often,No,Stressed,Family/Friends,Yes
27-30,Female,Lower Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,Never,3 (Moderate),None of these,Not applicable,Rarely,Sometimes,Neutral,Online Therapy Platforms,Yes
15-18,Female,Lower Class,School Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,5 (Very High),Panic attacks,Relationship i,Often,Yes,Neutral,Support Groups,Yes
19-22,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,Never,3 (Moderate),Panic attacks,Uncertainty ab,Sometimes,Yes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Working Professional,6–8 hours,2–4 hours,Scroll social media,Never,4 (High),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,School Student,8–10 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Rich,School Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,2 (Low),Anxiety,Academic press,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,4 (High),Panic attacks,Family expecta,Sometimes,Sometimes,Neutral,Online Therapy Platforms,No
23-26,Female,Middle Class,Working Professional,Less than 6 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,Yes,Stressed,Support Groups,Yes
19-22,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,5 (Very High),None of these,Not applicable,Rarely,Sometimes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,Working Professional,8–10 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Academic press,Often,Yes,Neutral,Mental Health Apps,Yes
27-30,Male,Middle Class,School Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Depression,Relationship i,Sometimes,No,Stressed,Mental Health Apps,Yes
27-30,Female,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Read or learn something new,1–2 times a week,5 (Very High),Depression,Academic press,Sometimes,Sometimes,Stressed,School/College Counselors,Yes
27-30,Male,Middle Class,Working Professional,8–10 hours,2–4 hours,Scroll social media,3–5 times a week,4 (High),Anxiety,Academic press,Rarely,Yes,Stressed,Support Groups,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,No,Neutral,School/College Counselors,Yes
23-26,Female,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Financial stre,Often,Sometimes,Stressed,Mental Health Apps,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Go out / exercise,Daily,2 (Low),None of these,Not applicable,Sometimes,Yes,Stressed,Online Therapy Platforms,Yes
15-18,Female,Middle Class,Working Professional,8–10 hours,6–8 hours,Read or learn something new,Never,3 (Moderate),None of these,Not applicable,Rarely,Yes,Stressed,Family/Friends,Yes
15-18,Male,Rich,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,2 (Low),Anxiety,Academic press,Often,Sometimes,Happy and stable,Support Groups,Yes
15-18,Male,Lower Class,Working Professional,Less than 6 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Anxious,Family/Friends,Yes
27-30,Female,Middle Class,Working Professional,6–8 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Panic attacks,Social media c,Sometimes,Yes,Neutral,Family/Friends,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,5 (Very High),None of these,Not applicable,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Yes,Stressed,Mental Health Apps,Yes
15-18,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,Daily,3 (Moderate),None of these,Not applicable,Rarely,No,Neutral,Support Groups,Yes
19-22,Male,Rich,Undergraduate Student,6–8 hours,0–2 hours,Read or learn something new,3–5 times a week,2 (Low),Anxiety,Academic press,Almost every day,Yes,Neutral,Family/Friends,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Rarely,Sometimes,Stressed,Family/Friends,Yes
23-26,Male,Lower Class,Postgraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Rarely,Yes,Neutral,Mental Health Apps,Yes
23-26,Male,Middle Class,School Student,6–8 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Social media c,Rarely,Yes,Happy and stable,Online Therapy Platforms,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Go out / exercise,1–2 times a week,4 (High),Depression,Social media c,Sometimes,Yes,Anxious,Family/Friends,No
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Panic attacks,Financial stre,Rarely,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Social media c,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Working Professional,6–8 hours,6–8 hours,Talk to friends/family,Daily,3 (Moderate),Anxiety,Financial stre,Rarely,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Family expecta,Often,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Overthinking,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,Never,2 (Low),Anxiety,Relationship i,Sometimes,Yes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,Postgraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Anxiety,Family expecta,Rarely,Yes,Stressed,Online Therapy Platforms,No
23-26,Female,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Read or learn something new,Never,5 (Very High),Panic attacks,Relationship i,Sometimes,No,Stressed,Mental Health Apps,Yes
23-26,Male,Lower Class,Working Professional,8–10 hours,6–8 hours,Go out / exercise,Never,3 (Moderate),Anxiety,Academic press,Sometimes,No,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,School Student,8–10 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Panic attacks,Financial stre,Often,Sometimes,Neutral,Online Therapy Platforms,Yes
19-22,Male,Rich,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Depression,Academic press,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Male,Rich,Postgraduate Student,6–8 hours,6–8 hours,Go out / exercise,3–5 times a week,3 (Moderate),Panic attacks,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Academic press,Almost every day,No,Stressed,Online Therapy Platforms,Yes
23-26,Male,Rich,Working Professional,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Relationship i,Almost every day,No,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Rarely,No,Neutral,Online Therapy Platforms,Yes
27-30,Male,Rich,School Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,4 (High),None of these,Not applicable,Rarely,Yes,Happy and stable,Mental Health Apps,No
23-26,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,Never,3 (Moderate),Anxiety,Academic press,Sometimes,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Rarely,Sometimes,Stressed,Mental Health Apps,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Financial stre,Sometimes,No,Anxious,Family/Friends,Yes
27-30,Female,Rich,School Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Panic attacks,Academic press,Almost every day,Sometimes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,School Student,8–10 hours,2–4 hours,Talk to friends/family,Daily,3 (Moderate),Panic attacks,Relationship i,Sometimes,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Talk to friends/family,3–5 times a week,2 (Low),Anxiety,Family expecta,Rarely,Sometimes,Neutral,Support Groups,Yes
15-18,Female,Middle Class,Working Professional,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),Panic attacks,Family expecta,Often,No,Stressed,Mental Health Apps,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Sleep / do nothing,1–2 times a week,5 (Very High),Panic attacks,Uncertainty ab,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Working Professional,8–10 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
27-30,Female,Rich,Postgraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Family expecta,Often,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Male,Lower Class,Working Professional,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Sometimes,Neutral,School/College Counselors,Yes
23-26,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,1 (Very Low),None of these,Not applicable,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
27-30,Male,Middle Class,School Student,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,2 (Low),Anxiety,Social media c,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Lower Class,Working Professional,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Rarely,Yes,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Academic press,Almost every day,Yes,Anxious,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,Yes,Neutral,Support Groups,No
27-30,Male,Rich,School Student,More than 10 hours,More than 8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,No,Neutral,Family/Friends,Yes
15-18,Female,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,Postgraduate Student,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Often,Yes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Go out / exercise,3–5 times a week,5 (Very High),Panic attacks,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Postgraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,Never,3 (Moderate),Depression,Social media c,Often,Sometimes,Depressed / Burnt out,Family/Friends,Yes
27-30,Female,Middle Class,Postgraduate Student,Less than 6 hours,2–4 hours,Read or learn something new,3–5 times a week,5 (Very High),Depression,Academic press,Often,Yes,Anxious,Family/Friends,Yes
19-22,Male,Lower Class,Working Professional,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Rarely,Yes,Anxious,Support Groups,Yes
15-18,Male,Rich,Undergraduate Student,Less than 6 hours,2–4 hours,Sleep / do nothing,1–2 times a week,1 (Very Low),Anxiety,Academic press,Rarely,Sometimes,Stressed,Support Groups,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,No,Depressed / Burnt out,Online Therapy Platforms,Yes
27-30,Male,Middle Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Anxious,Mental Health Apps,Yes
19-22,Female,Lower Class,School Student,Less than 6 hours,0–2 hours,Talk to friends/family,3–5 times a week,4 (High),Depression,Relationship i,Rarely,Yes,Anxious,Online Therapy Platforms,Yes
19-22,Female,Rich,Working Professional,8–10 hours,More than 8 hours,Talk to friends/family,Never,2 (Low),Anxiety,Relationship i,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
27-30,Female,Rich,School Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,No,Stressed,Family/Friends,Yes
27-30,Male,Rich,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Family expecta,Rarely,Sometimes,Happy and stable,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Read or learn something new,Never,4 (High),Anxiety,Social media c,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
27-30,Female,Middle Class,Working Professional,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,No,Anxious,Support Groups,Yes
15-18,Male,Middle Class,Postgraduate Student,Less than 6 hours,0–2 hours,Read or learn something new,3–5 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Depressed / Burnt out,Mental Health Apps,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),Anxiety,Academic press,Often,Sometimes,Stressed,Support Groups,Yes
27-30,Male,Lower Class,Postgraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Panic attacks,Social media c,Sometimes,Sometimes,Anxious,Online Therapy Platforms,Yes
23-26,Male,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
